Author,Title,Review,Rating,Dates,Restaurant
"ClosedmouthshowerCape Town Central, South Africa",Lovely Date Night,"Visited this restaurant with my girlfriend. The food was lovely, we both had the salmon, which was cooked really well. Creme brûlée for desert was extremely enjoyable too. The service was efficient and attentive. The restaurant allows corkage if you want to take a good bottle of wine along, which we did. The tranquil atmosphere the restaurant provides in the busy street is enjoyable. I recommend sitting outside to enjoy the atmosphere.Try not to drive in the area of the restaurant, as the roads are congested in the evening over the weekends. Only disadvantage is that it is difficult to find parking. The people purporting to be parking attendants on the street are abrupt and annoying, but this is the area in general.",5,2014-05-30,Pampas Reserve Grill & Bar
"739claudiatSingapore, Singapore",A Gem in Taman Tun neighbourhood,"Amazing food. I realised that the cuisine was Yemeni food which I had not tried before. At first I was apprehensive but my fears melted away when I tasted the spectacular cuisine. We had the chicken hanith, akin to chicken briyani in a stone pot, and the dips @ tanouleh, hummus was amazing. Dessert was Kanuffa and caramel. Kanuffa is like fried microscopic noodles with cheese filling with crushed pistachio nuts sprinkled on top. Atasha the manager was warm and introduced us to the Yemeni food. She came occasionally and infected us with her warm humour and stories.",5,2023-08-10,Bedouin Arabian Cuisine
"Paris1964Paris, France",Very disappointed,"Went all the way from Ampang to Roost for lunch and walked out eventually. First a guy on the pavement shows us a menu (they have to go down on the street to attract customers ?). We go up, order our starters (duck paté and scallop/crab salad) and main courses (chicken and pasta) and wait. After a while, a different waiter comes to tell us the chicken is only available for dinner, and brings back the menu. And we wait.... I mentioned that maybe it would be nice to tell the customers beforehand that a dish is not available, or maybe even mention it on the menu, there's an idea, if it's never available for lunch. Not much reaction, the guy takes the menu away without asking me what else I would like as a main course. I decide to let it go and see if anyone notices there is no second main course ordered. I have to mention that we are the only customers at 12.45 on a Saturday. Paté arrives, ok, nicely presented, average taste, and so does my scallop and crab salad a bit later. I start eating it and just cannot find any trace of scallops. I mention it to the waiter, who laughs, goes to the kitchen and comes back to say ""no scallops so we put extra crab meat"". Not the salad we ordered (and of course no mention of the change to the customer), no main course ordered, the Danish chef witnesses the whole scene and does not make a move to explain, let alone apologize. We decide to walk out, ask for the bill for food and drink consumed (it does come with no argument) and as we go out, we mention our discontent to the chef. His only reply (he is very shy or he really really doesn't care) is, we've not had scallops for 2 months... WHY NOT TELL THE CUSTOMER OR TAKE THE DISH OFF THE MENU ??? We told him that we understand that in Malaysia things don't always come out as they should, but a simple explanation or apology would have made things better when there are such blunders. Even better, get organised and tell the customers what they are going to get (or cannot get) before the order is taken... we really felt he couldn't care less... shame as this was a promising restaurant but we will never set foot in the place again. I can understand this level of service in a cheap eatery, but from a restaurant that considers itself trendy and upmarket, it is more than puzzling. And they do look like they need customers, only two more had arrived when we left at 1.15pm. Others restaurants in the area were packed and we had a lovely lunch with excellent service at Ashley's by Living Foods just up the road.",2,2015-05-30,Roost
"Robert BKuala Lumpur, Malaysia",Good tasty meal,"Went to Serendib as we love Sri-Lankan food and had not been back there in 5 years. It is conveniently located in G Tower at the base. We went during the week and it was not busy (mostly for lunch crowd).We had the following:3 Lassi - 15RMCeylonese Sambal - 15RMMutton Poriyal - 48RMCoconut Rotti - 10RMNegombo Prawn - 46RMThe food was very tasty but the mutton was very dry and salty. We could not finish that one. The Negombo was excellent. Overall pleasant decor, good music (after we asked them to change from techno crap). Great service, pleasant attendance and explanation of their dishes. Extensive menu. They are heavy on the salt.",3,2023-06-26,Serendib Restaurant & Bar
"Jason DSwansea County, United Kingdom",Brilliant food and company,"Went there on a business trip as recommended by nick a regular, the owner was very friendly and talkative being from the homelands of Italy. He suggested a mixture menu which comprises of a bit of everything, it was amazing, excellent food, the owner joined us for a bit as we were a bit late and we had a good chat about classic cars, overall a very good experience.",5,2018-03-22,Monnalisa Ristorante Italiano
115jefv,Just do it,"Located in the beautiful Jalan Alor, a street obliged to visit if you consider yourself a foody. This specific place offers great food. Nice taste and stunninh chicken wings.",4,2018-07-22,Wong Ah Wah
"stephenlloydgKuala Lumpur, Malaysia",Suzi's good value,"A mixed open food court but not the enclosed type of food factory seen in most malls. A good selection of Malay, Indian, M east and very good value steaks (tenderloin under RM 50 and cooked well - medium rare that really was). Fun waiting staff who remember the orders you had on your last visit! A good acoustic guitar /singer was there on our last visit.Good range of juices or a beer to drink. Not sure they do wine. Clientele looks a nice mix of locals and established ex pats. I believe this district was where the older ex pats originally gravitated to.",5,2019-03-07,Suzi's Corner
"AngiePBBVancouver, Canada",Dragon - i is one of the best restaurant in this Pavilion Bukit Bintang food court,"We were craving for Peking duck and went to this place for our meal. It was in weekday and early afternoon. They didn't have a lot of patrons, but service was still great, except some wait staff didn't speak English. I read from yelp that they had Peking duck 3 style of dishes (regular crispy skin wraps, meat dish with vegetables, and soup using the remaining meat on the bones), but when we asked, the wait staff told us that was not available, without giving us any explanation. Thus we were disappointed, but still ordered the duck. They sliced the duck in front of us, but they come up with 2 dishes, one with the skin and the other one with meat, together with the wraps in 2 containers, sauces & green onion on two plates. The duck was excellent, just we missed the soup dish. Probably they used it for their soup and sold it to their other customers",5,2023-03-03,Dragon-i Peking Duck Restaurant @ Pavilion KL
"thesij82London, United Kingdom",Tasty food in a nice-looking restaurant,"Grandmama’s is one of many restaurants/eateries inside a large and maze-y shopping mall.Grandmama’s stood out for me due to the appealing decor, nice seating area and, most importantly, it’s menu offering.After some deliberation I opted to go with a beef curry dishes, which was accompanied by coconut juice.The service was relatively quick and courteous. Staff were friendly, attentive but not overly pushy. The food itself was even better. The beef was cooked to perfection - tender and full of flavour. The perfect combination was the fresh coconut water that I washed everything down with. And as with tradition, the coconut water actually comes in a real coconut - which becomes a desert in itself because you are given a spoon to eat the soft flesh inside. Mmmmmm!You can certainly get cheaper beef rendang elsewhere, but I think the cost was relative and preferred the cosy environment. I’m glad I decided to eat here. You should, too!",4,2018-01-06,Grandmama's
"gcatucciKuala Lumpur, Malaysia",We found this place in google,"We found this place in google map, and realized it was right across the street for the 4 Points By Sheraton.I think they changed the menu as we could not find most of the items we saw pictures of on google maps. However, the octopus in a kind of spicy broth was very good and extremely tender.We loved the mushroom (not the omelette you see pictures about).We didn’t really care about the chicken wing, which were deboned and tasteless. However, the red rice that came along with it tasted as a good risotto.The only complaint I have is that for some reason we have to pay separate bills for drinks and food although it’s the same owner. That was very annoying considering the drinks had to paid cash and lucky I had enough on me.",3,2020-12-02,Chocha Foodstore
Mynameisrick,Fresh oyster...Must TRY,Variety oyster we can choose...I only can say it was the best oyster i ever had....Highly recomended for oyster lover..I also had salmon ..its taste great perfectly cook....Will be back.again to.,5,2016-01-08,Shucked Oyster and Seafood Bar
KamarudinO7,Nasi Lemak Power,"Nasi Lemak is a must-have dishes for Malaysian. Especially for breakfast. In case some of you wondering what is Nasi Lemak, Nasi Lemak is a coconut flavoured rice, serve with cooked Chili Paste known as 'Sambal Tumis' and Cucumber.That is the basic ingredient needed for Nasi Lemak. Other dishes will be add-ons to make the meal complete.As for Wanjor, basically, the rice is the same as other places. But to dine in here will make the meal interesting and more enjoyable. As you can choose your dishes from a variety of other add-ons dishes that are prepared on the spot, freshly cooked and direct from the wok like the fried chicken parts.The sambal is slightly on the sweeter side. This is to reduce the spiciness of the sambal.Overall the Nasi Lemak at Wanjor is the best.",4,2018-04-01,Nasi Lemak Wanjo
SHARONC4626,Good food,Very nice ambience and the food taste good. The waiters are friendly. Most important got free hockey parking.  Will come back again.,5,2023-11-17,Ishin Japanese Dining
eddy_v_1234,"Excellent service, food was nice",Helpful staff went out their way to make my mums birthday special. Caters for eggless and vegetarian diets. Decor is traditional south Indian and unique. Food was nice. Atmosphere was quiet and homely.,4,2018-07-07,Annalakshmi
Discover57617121427,"Good food, good people","Hands down to the most friendlist and nicest person named Hana. She served with care and love! Will come back for her and good foood!! 

Service 20/10
Food 10/10
Atmosphere 10/10",5,2024-02-04,Kampachi Pavilion
"Rebecca MBanbury, United Kingdom",Good choice on the menu,"We used most of the facilities during our stay at Traders,very good hotel, clean, efficient and all staff most pleasant. There are a number of eateries here and this looks very modern, food is delicious, bit over priced but you can ask for variations which suited us one hundred percent. Terimakasi.",4,2016-03-22,Bara On Six
"Robert BKuala Lumpur, Malaysia",GOOD FOR DRINKS NOT FOOD,"Went to Havana to have the fabulous pizza I had during covid restrictions. We had the following:Calamari rings - 32RMPizza americana - 44RM2 San pelligrino - 28RMStuffed Jalapenos - 30RMvirgin mojito - 20RMThe drinks were good, The calamari rings were like the ones you get from a frozen pack at the supermarket (tough), The stuffed Jalapenos were not bad but not good as before and the pizza was absolutely horrible. The nice thin crust they had earlier in the year is no more. Instead they have the store bought frozen cookie type crust that gets soggy. What a disappointment, we couldn't finish it was so bad. On top of this, even if the restaurant has several no smoking signs plastered on the walls inside, they supplied patrons with ash trays and several were smoking right next to us and told us off when we asked them not to smoke or to go do it outside while we were eating. Not a pleasant experience",1,2022-12-26,Havana Bar & Grill
philhS3649DX,"Great food, great service. ",Amazing food here. Big portions of the Tandori chicken. Teh Tarik not oversweetened. The best wait staff in KL too.,5,2018-02-27,FS Nasi Kandar Corner
AMMYjon,"Great food, service, atmosphere","The steak was delicious , cook perfectly. This place know how to satisfy their customers. Constantly with a very kind mind set. The sides were also excellent and there was a good range.",5,2019-08-16,Emily's Steakhouse Kuala Lumpur
visithra,excellent tapas,"yummy food, lovely ambiance. variety of tapas to try from. service is great too and always a plus point",5,2015-11-20,Fresca Mexican Kitchen & Bar
"YogeshSrivaMumbai, India",What a place to unwind,"Taps beer bar can boast of huge and perhaps biggest collection of beers from across the world . You have it from France, Australia, Japan , US, UK et al. They offer tap beer and can / bottle . It's reasonably priced. We had good time galloping Japanese, Australian and French beer . Nice place to unwind. Must visit, while in KL, it's located just opposite Hotel Istana, KL.",5,2018-08-13,Taps Beer Bar
"pushpalpKuala Lumpur, Malaysia",Delectable Quick Bites,"Well have seen this restraunt for a while now but haven't got a chance to explore hence this time we choose it for some evening coffee. First the ambience wooed us and then the food. Food and drinks are very reasonable and tastes good. We had coffee, lemon grass soda pizza and waffles. Pizza were thin crust and really amazing. A very pleasant exoerience indeed",4,2020-07-25,Mighty Monster
"susanjoyHPhuket, Thailand",Disappointed ,"If it hadn’t been for some vouchers I had for this place I would have walked out. Prices are extremely high and not worth it. I ordered the duck (about 150rm) and it has such a big muscle in it I couldn’t cut it with my knife.. so, how to eat it? They cooked another one for me. So that was a nice attempt. My husband’s lobster (230rm) was very small and not what you’d expect for that price. If you want to be at an expensive, fine dining restaurant.. you can do better. ",2,2019-08-06,Lafite
Mitch131213,"Overpriced, long wait for steak. Better spend your money on steak elsewhere","It USED to be nice. Till recently, over-priced, over cooked (owner blames it on the hot plate), and slow service. Go to the Steakhouse in Changkat Bukit Bintang if one wants to taste the best steak in KL- It is truly well worth the price.",1,2019-06-05,Suzi's Corner
Cassie L,Company CNY lunch,"Great service from the Chynna team. Was here for the first time for office CNY lunch.Thanks to Emiley, Atiqah & Azrai for servicing us.",4,2024-02-24,Chynna
"tausermay21Kuala Lumpur, Malaysia","Classic ambience, great food","Delicious steaks. Burgers are okay too. Fresh oysters. Pricing a little hefty, but definitely get what you pay for. Staffs are really friendly. One flaw is that the place smells weird. Probably it's the seasoned wooden planks. Should go for another round of refurbish guys. (yes, the one at damansara)",4,2013-01-30,Jake's Charbroil Steaks-MEDAN DAMANSARA
SRKK2013,Quick bite,"Went here for breakfast on the day we moved out of Kualalumpur. It was a quick one, taste was not great.",3,2019-07-16,Subway
"Meander10236Kuala Lumpur, Malaysia",Memorable family dinner at Curate on Saturday 29/8/2020,Thank you to the staff of Curate Coffee House!Wonderful service from Jackson who waited on us patiently and to the Chef who accommodated our off-the-menu request for a plate of mash potato for my grandsonOur dinner tonight was a wonderfully warm experience.,5,2020-09-01,Curate At Four Seasons Hotel Kuala Lumpur
Isaac H,Best Spanish Restaurant in KL!,"As usual, this place's standard are great. Casual friendly ans food is truly Spanish. Everytime i wany to feel like im back homr i come over and eat here. Best Spanish and the only one really unique in KL.",5,2021-10-20,Mercat Barcelona Gastrobar
"Torsten_SWKPecatu, Indonesia",Best steak in town,"We went there 2 nights in a row, just because the steak was THAT good and we had to have more. We ordered both nights The Steak Borderlaise and it was absolutely amazing - super tender and juicy. We probably would have gone back for a third night if we would have stayed another night in KL ;-)Both nights we had absolute wonderful and super attentive waiters. Andrew and Kean - thank you so much for your amazing service! We will be back for sure. Until next time!",5,2019-07-10,The Steakhouse KL
496delphinek,A fortunate hasard,"We found this place by luck, and it was great. The staffs are really friendly and looking after their customer. We went there with our two daughters 2.5 and 5.5 years old and they did their best to satisfy them.The place is really clean and service super fast.Thanks for this moment",5,2018-04-23,FS Nasi Kandar Corner
"noodlepillowsTokoroa, New Zealand",Brilliant,We want for a birthday celebration. I had the local rendang burger-the best burger I've had. The staff were friendly and efficient. Everything about the restaurant is top of the line.,5,2019-10-25,Hard Rock Cafe
Ljdidier,Wedding Dinner,"Quite small venue and can accomodate from 60 to 80 persons!! Well staffed, 1 waiter/ waitress per table!! The food menu offered simply delicious!! The entrees are amazing, from scallops to prawns and pork delicacies!! The sucking pig and duck dishes are winners!! Definitely non-halal!!",4,2016-12-28,Noble House
Climber64757814404,Yummy food in PJ,"The authentic Chinese food. The taste was superb and portion was huge. Clean and peaceful place to be. There are VIP room available with minimum spending. 
On top of that the restaurant have an attentive and friendly staff.
Kudos to Esthella and the team.",5,2024-03-13,Yue
"Matthias92Hauzenberg, Germany","Good food, awesome cocktail",The burgers are really great and also the cocktails were enjoyable. But only the price is almost European compared to other Malaysian Restaurants.The service is good and friendly. ,4,2019-08-17,Hard Rock Cafe
irisliys,Fantastic spring rolls,"We ordered beef noodle, chicken soup noodle and spring rolls. Both are very delicious, Especially the spring rolls.",5,2019-10-18,Sao Nam Vietnamese Cuisine
"dayangaazizKuala Lumpur, Malaysia",Best Birthday Do!,"Had an excellent birthday do, sumptuous food, great service, nice ambience, friendly Chef! Happy birthday to the Chef's father in Sardinia, Italy! :)",5,2023-10-18,Prime
gc369tarvw,Lovely family restaurant ,"Great variety of Asian and western cuisine, extremely attentive and friendly service staff (two thumbs up for Jahidul!)!",5,2017-12-13,Serai Pavilion KL
"davidcY3374CJSingapore, Singapore",Excellent Modern French Food,"I took a friend while he was in town on business. I actually wanted to book Fuego but it was fully booked. However that turned out to be a blessing. I thought the food was excellent. I especially enjoyed the small course concept and the ability to order 4, 6 or i courses. The wine list is extensive and well priced for KL. I could not fault the experience, view (we sat outside), service or cooking. Excellent!",5,2017-07-29,Cantaloupe
"Eric DKuala Lumpur, Malaysia",Extremely poor service,"I made the mistake of dining there yesterday. Service was random, with a number of waiters standing idle next to the wall while patrons were desperately trying to get attention. Once I placed my order, all the dishes and drinks were practically shoved onto my table in no particular order, as if they needed to get rid of me asap. I believe they gave me a dish that had been sent back by another customer. Finished my ""fine"" dinner in 25 minutes. That's ok, I will not come again. I do not recommend Pampas to anyone.",1,2018-09-08,Pampas at Old Malaya
Khairos,Local food,Nice place to eat for lunch. Best time to visit is around 12pm. Worst time to visit would be after 2pm as most of the food will finish. The restaurant is self serving so don't immediately sit down and expect to be served.,4,2014-09-24,Melting Pot Cafe
"Michiel KLandsmeer, The Netherlands",Delicious fusion food,"We had a selection of the “tapas” instead of a main menu. It turned out great! Especially the guacamole! Finger licking good. Staff was friendly and helpful. Price is a bit high for KL, but totally worth it if you like food ;)We had the soft shell crab, grilled watermelon which was very delicious, the ceviche with salmon, beef croquettes, guacamole with olives (awesome combination) and some others as well. I think we had almost all the small dishes. All good.And then the view! Awesome. We would come here again if we go back to KL.",5,2020-02-23,Fuego at Troika Sky Dining
"484fleurmBangkok, Thailand",Dissapointment!,"The restaurant is trendy and a cool place in general, but that’s the only positive thing I can say about it. Cold food, no sauce, not tasty. I ordered noodles with shrimps, but only got 1 shrimp in my whole dish. The staff was also really unfriendly. Wouldn’t recommend it to anyone. ",1,2019-03-06,Limapulo Baba Can Cook
bayubabe,Beautiful Japanese French Cuisine,"Thoroughly enjoyed Sage's excellent set lunch today with a few girlfriends. The menu was varied and every dish was beautifully executed and cooked to perfection. It was obvious that the chef took great care selecting the freshest of ingredients.Coupled with warm, efficient but unobtrusive service, we had a very lovely time. And yes, it was great value too and we will return soon to savour their more complex set dinner!",5,2014-05-14,Sage Restaurant & Wine Bar
Torukhmaktou,Sarvana Bhavan at ita best,"The best and cheap hotel to end your hunger is just one and only one SB.
the wise range of food, including thalis and beverages, breakfast,snacks,dinner at under one roof.
I wud recommend every Traveller to eat here only",5,2018-05-13,Saravanaa Bhavan KLCC
ElviriaL,Delicious whether you're vegan or not!,"Great tacos, lovely chilli - everything we had was delicious and really good value.
I'm not vegan, but I didn't miss the meat at all. I'll definitely be going back!",5,2017-06-12,Sala Vegan Plant-based Tex-Mex Restaurant
"HakimuKandy, Sri Lanka",One Ok and One Horrid,"We went there twice, just cause it was close by and also the Hotel suggested. The first visit was ok with the food tasting good, but the service was a bit of a roller coaster as they kept mixing up our orders. The second experience was pretty horrid, this time the service was ok but the food was really bland and not up to standard. The juices were nice and the prices were really cheap too. I'd avoid this place next time.",2,2018-04-02,FS Nasi Kandar Corner
"pauljerSingapore, Singapore",It's all a-okay,"Big menus are commonplace in Malaysia. The menu at Annie1 looks longer than the complete musings of Confucius.Famous Menglembu wanton mee is absurdly satisfying: They are the very definition of joyous slurp. The noodles are springy and the charsiews are the star of the dish. There is no way to eat this food elegantly so don’t bother trying. Just get your mouth over the plate, lift the noodles and suck. Festoon yourself in napkins tucked into every crevice of your clothing as if you are trying to mitigate the impact of a blast zone, which in a way you are. I was also moved to speechlessness by their Chee cheong fun pork curry – this is a good place to try these rice noodle roll.Yes, the food is also deliciously affordable. This is the true truth, as I say it as it is…",4,2020-03-01,Annie 1 Family Restaurant
hungryhogs,Top class,"My first but not last visit to Din Tai Fung; it was excellent. We (4 of us) had a great mix of dumplings and other tasty dishes that were all very good, accompanied with a few beers (not to be taken for granted in Malaysia).",5,2015-06-17,Din Tai Fung at The Gardens Mall
