Author,Title,Review,Rating,Dates,Restaurant
"pandasasaDubai, United Arab Emirates",A 5-star meal!!,"Not sure why people were complaining about the portion, we ordered the 10 years menu today - food was great and came in generous portion, ingredients were fresh and plating was like an art. Glad that we chose this place for celebrating our special occasion, we will be back!P.S. service was first class and you could feel what hospitality meant at this resto",5,2022-10-15,La Terrazza
BellyFullmmmm,"Good food, friendly service","Pleasantly surprised, seems to serve authentic Italian cuisine very close to the Colosseum. Great breaded chicken, good saltimbocca, good eggplant parm. A bit pricey but that comes with the location.",4,2023-10-02,i Clementini
GeorgP,Good family restauranr,"Food was excellent, service friendly and attentive, prices are in relation to quality offered. Our best dinner in Rome this time (sept.2020)",5,2020-09-20,Dema Restaurant
OlePistolero,Perfect,Fantastic baguettes and very friendly staff! Perfect if you are on the go and want something to eat while enjoying the sorroundings. ,5,2020-02-05,La Baguetteria del Valle
IrisMol,Great food!,Heerlijk gegeten! Vriendelijke bediening :) thank you so much Lily Giulia and Aneel! We Will come back.,5,2019-11-09,Il Tagliere Toscano Navona
ManuelaS3444,For Pizza Lovers,"When we arrived in Rom we sayed we wanna have a pizza tonight. So the lady from the Airbnb recommended us to go to Trastevere. Seriously, it was the best pizza we could have imagined. I eat Funghi and my Fiance Capriciossa. After that a Limoncello Tiramisu and Tartufo Chocolate... We can highly recommend it!!!",5,2020-09-18,Alle fratte di trastevere
Carlyy2468Australia,Everything on the menu is delicious,"We ate here twice during our time in Rome! We tried a number of the tapas and they were just so tasty! We also tried some paninis - we recommend anything with the truffle sauce. The owner is very happy and made our visit a pleasant experience, he definitely loves doing what he does. :)",5,2019-06-14,PanDivino - Focacceria Taperia
Coastal63948300390,Not authentic,The service was wonderful but honestly this place is terrible Americanized food. Not authentic at all. So many better options very close by!,1,2023-06-23,That's Amore Restaurant by Fabio Bongianni
Stuart C,Good little find,"Just stumbled across this little restaurant, the staff were friendly, and the food portions were generous for the price. We would've gone again if we'd stayed longer.",4,2018-05-26,Pinsa e Gusto
776jimu,Late Night Dinner,"My girlfriend and I found this restaurant around the corner from our hotel less than an hour before closing. We were welcomed in immediately, and we loved that the owner(s) seemed to know everyone dining at that time. The food was fantastic and service impeccable. The owner served us and made the whole experience that much better.I highly recommend and will tell all my friends.",5,2022-08-13,Sapori Sardi
Nikusha G,Amazing Place,"Amazing place with good sandwichs and cutting boards( Taglieri) Also there are very good bruschetta,  i was there with my friends and we are Satisfied,The staff also paid a lot of attention to us",5,2020-07-26,Baguetteria del Fico
EduardoK_1974,Great panini,"Excellent, great sandwich. Will certainly return. Cheap and tasteful. Different prices for take away and eat in.",5,2019-08-03,200 Gradi
gourmetscotty,Italian perfection,"Michelin one star...worth at least two.
Superb food, creative modern flavors and artistry. Set in a beautiful series of small rooms w incredible service. And reasonably priced for this wonderful experience",5,2018-05-06,Il Convivio Troiani
grahamhZ2943VY,Wonderful breakfasts at Rosemary!,"We’re at the end of our second of three weeks based in Rome and have enjoyed breakfast at Rosemary five times so far. We’ve tried numerous other local cafés and keep coming back to Rosemary because it’s such a lovely experience. The staff are extremely welcoming and friendly, the food is wonderful and affordable, and the restaurant is cozy and clean.The owner, Marco Varano, is a gregarious host. He works hard to ensure that his guests have a great experience at his restaurant. Beyond its excellent food, convenient location, comfy chairs, and free wifi, Rosemary is a popular local hangout because of Marco himself. On numerous occasions, Marco went above and beyond to make us feel welcome and well-cared-for: going so far as to repeatedly seat us at “our table” (one of the prime large tables by the window), to bring us free espressos, and even to give us free Nutella cake on one occasion. I’ll be sure to recommend Rosemary to all my Rome-bound friends and family, and will add Rosemary to our Airbnb’s list of outstanding local restaurants. My friends and I will certainly return to Rosemary several more times before we leave Rome, and will make a point of coming back whenever we return to the Eternal City. When we do, I know Marco will greet us like old friends.",5,2021-10-25,Rosemary - Terra e Sapori
Alex N,4 stars,"Visited today and it was busy. The lady outside manning the queue was abrupt discussing the wait time, queue and where we would like to sit, which was a shame. Lovely food, fair prices and faultless service from Leao, especially. He was attentive and friendly. Food was really nice and I would recommend, we received a free shot at the end which was topped it off.",4,2024-03-15,La Nuova Piazzetta
"aliglobetrekManchester, United Kingdom",Great evening in Caramella.,"Great evening in Caramella. Three of us enjoyed 3 courses, wine and cocktails here last night. The duo who were performing were really excellent. Good choice of songs and very talented. Overall a very enjoyable evening and I’ll definitely be back next time I’m in Roma. ",5,2019-09-27,Caramella
"HellBent79Cornwall, United Kingdom",Superb! Highly recommend.,"We were looking for somewhere to enjoy a spot of lunch before visiting the Vatican and were lucky enough to find this gem. There were lots of Italians dining, not just tourists (always a good sign) and the service was friendly. We enjoyed an incredible lunch - fresh and delicious. Thoroughly recommend, especially if you're looking for somewhere to eat near to the Vatican.",5,2023-09-16,La Locanda Di Pietro
funkda,Small place with great food ,Don’t let the small place fool you. The food is simply amazing and great service by Allesandro. He was very helpful describing the food and very patient with us. I totally recommend this place.,5,2019-09-21,Food Factory
Jack A,"Great Food, Awesome Owner",Authentic Roman cuisine served up by the friendly owner Ricardo. Try the cacio e pepe pasta with the local favorite oxtail or one of the many other delicious local dishes. A can’t miss experience for a visit to Rome.,5,2023-09-27,Su & Giu Cucina Romana
"Y2262MIaaronsLaleston, United Kingdom",Perfect! ,"Had the most beautiful food at La Pechora Pazza. A lovely little restaurant with a homely feel. All of the food was freshly made and full of taste. The highlight had to be the Amoretto dessert, recommended by the owner. It was a perfect end to a lovely evening! ",5,2018-07-26,La Pecora Pazza
FellowTraveler163006,Just another eater,"One of the best meals we had, fish was always cooked phenomenally and they had some original dishes that blew us away. Would highly recommend",5,2023-06-01,Ristorante Crispi 19
Janna C,Don’t be fooled,"I walked miles to get a cappuccino with the fancy writing on top. The cappuccino was quite average, and definitely not worth the walk.",3,2024-02-08,Bar San Marcello
"Trail45261609859Diamond Creek, Australia",A great option for the Trevi Fountain area,Klass is a great restaurant right in the heart of the Trevi Fountain area. Our food was delicious and reasonably priced and our waiter Simone was outstanding. He was able to recommend the perfect meal for our last night in Rome with a smile and a laugh.,5,2024-01-11,Klass Restaurant
claref858,Everything you’ve heard is true ,This place was completely delicious and probably the best place we ate over 2 weeks. Plus the staff are so nice!,5,2019-10-06,Baguetteria del Fico
EnterQuery,Very good,"I normally shy away from seafood (because I've gotten some horrendous dishes) but the reviews of this place convinced me to give it a try. My girlfriend and I started with some charcuterie, followed by the grilled bass, spaghetti vongole and grilled veggies. Everything was sublime, we were completely stuffed, would recommend. We finished with a nice espresso and payed 71. We were the only tourists, lots of locals surrounding us, which is always a good sign.",5,2017-07-07,Bentu & Soi
W3653PAbenh,Would Recommend!,"Lovely dinner in a central spot in Trastevere.

Great food, and brilliant service (thank you Juan!). 

Would recommend this restaurant if you are in the area - especially the lasagne!",5,2023-07-08,Otello
godivajive,Best food by far,"The food was beautiful.
Good service.
Nice atmosphere and plenty of vegan choices. Will definitely be returning again.",5,2022-03-19,Origano Campo de' Fiori
"David MSydney, Australia",As long as you don't want coffee,"There's something a bit try-hard about Matermatuta. My ”sesame encrusted"" deep-fried prawns (prawn cutlets, as they're called at the local fisho) were fine, but the dipping sauce, a soy and sweet-and-sour combination, wasn't a success. And given that monkfish has a delicate flavour, swamping it with a puree of smoked potato is an idea that needs rethinking. (In fact, smoked potato verges on lunacy.) Still, my wife's scallops were wonderful, and so was the sea bass she had as a main. The dessert of gelati served in the shells of the fruits​ and nuts they were made from was spectacular.All in all, we were pretty happy as we waited for someone to take our order for coffee and grappa. And waited. And waited. For forty minutes. In desperation, I got up to look for our waiter. He walked straight past me, avoiding eye contact. So we left.What went wrong? Some crisis in the kitchen? Did we offend somebody? Or is it just one of those restaurants that loses interest when they feel they've finished with customers? I have no idea. But there's a big element of theatre in dining out, and as in the theatre, a bad ending can spoil the whole night. My rating reflects that. For food alone I would give Matermatuta three stars, with an extra half star for the gelato.Give it a go for a reasonable seafood meal. But if you want coffee, take a thermos.",1,2017-06-01,Matermatuta
Daniel W,Average,"Was recommended this place, seemed overly busy and menus had to be shared. They also add a service charge on that goes to the restaurant not the waiters, would be nice to know this up front! Food was ok, doesn’t compare with the rest of where we’ve eaten in Rome though.",3,2022-09-12,Babbo's
MiniCoop,Excellent Small Restaurant,"Food was delicious, manager was delightful and accommodating.  Excellent choice for a restaurant in Rome.  Great quiet location near the Pantheon.",5,2022-04-18,Ristorante La Tavernetta 48
"Jennifer LFort Collins, Colorado",A Truly Magical Place!,"Hostaria Antica Roma is my favorite restaurant in Rome! I truly appreciate the detail that is given to each dish, and each interaction that this wonderful family has with it's guests. Every time that I eat a meal at Hostaria Antica Roma I also learn something new about Roman life and food in antiquity. Thank you so much and I will definitely be back every time I'm in Rome!",5,2022-11-15,Hostaria Antica Roma
fabest80,puntualità è qualità,"Ottimo servizio e pizza di qualità, ma non solo anche il resto è ottimo.Puntualità è cortesia nelle consegne.",4,2022-05-28,PizzaRotondo
Shaun G,A truly great place to eat.,"A truly great place to eat. Roman home cooking, friendly service, very reasonable prices in a warm atmosphere. Definitely recommend a visit.",5,2020-09-10,Alfredo e Ada
karajeana,"Cute location, quality food ",My family and I really enjoyed our meal here. The margaritas are STRONG and the food was so delicious. Valeria was our server and she was very kind and helpful. The barbacoa tacos were sooooo delicious.,5,2019-10-03,Casa Sanchez
Jordan C,Excellent experience!,"Excellent service, outstanding food and brilliant ambience. Highly recommend this restaurant. Also, great value for money!Dominico was a superb server and very helpful.",5,2023-09-01,Ornelli Black Angus Steakhouse
"dreeveswfgBrentwood, Tennessee","Go for the pizza, hang out with Augusto! ","We stopped by this quaint establishment on our last day in Rome. We had some time to grab a quick bite before doing a little more siteseeing. The pizza was visually enticing to say the least. I ordered a vegetarian, & my husband ordered one with prosciutto and burrata. We decided to sit and eat and ended up having a great conversation with the owner Augusto. The pizza was great & Augusto was SO friendly and welcoming. He gave us many travel tips, & a fascinating history lesson on his building alone. He then brought us the Roman staple, suffli (rice ball) to try & it was also amazing. We were enjoying ourselves so much we decided to forego our sightseeing & just spent our final but if time in Rome enjoying the food at Romana & the company of Augusto",5,2021-06-04,Pizzeria Romana Al Taglio
KelliSul12,A must in Rome,"I should have known from the first bite of focaccia that this place was going to be good. We started with an artichoke salad drizzled with Parmesan and olio. The main attractions: amazingly tender veal that fell apart in your mouth and gnocchi in a seafood medley, that was the perfect balance of salty and savory. Lastly, the Tiramisu, which usually has an off texture for me, was wonderfully whipped and delicious. The pear yogurt mousse was so interesting, but equally as amazing. Hats off to the chef and servers who worked their butts off with a restaurant full of people!",5,2022-07-06,Il Fellini
Q6943MBreneer,Excellent food and presentation,"If you are looking for authentic Italian  food with a charming atmosphere, visit l’Isola. Joseph is the perfect host and will provide you with a wonderful dining experience.",5,2020-02-07,Ristorante L’Isola
"Augustus PHarrisburg, Pennsylvania","The staff was friendly. The food was excellent. The surroundings were genuine, not pretentious. It made me feel welcome","I am a family physician from the United States. This was my first time in Italy. My father was from Calabria. I was raised with my grandparents the food experienced here reminded me of my grandmother’s cooking. I really felt connected with this whole experience, although I am still in private practice, I intend to go back next year to make this a frequent visitation",5,2024-03-09,Tonnarello
E1477ABnicolasl,10/10,Very nice evening with Klaudio. Dîner was excellent. Go there without any doubt !! Indeappy recommand to have a nice and beatiful evening,5,2023-09-01,Rione 13
"MangiabeneAdessoVenice, Italy",One of my favourite restaurants in TrasTevere,"Wow! I had the most amazing Roman meal here. Pasta carbonara like no one has made before.Then, vitello saltimbocca Romana. I can't say enough wonderful things about this restaurant. Don't be tempted by the place across the street with the tables outside. If you want to eat well, eat here...",5,2018-11-25,Dar Sor Olimpio al Drago
agdong,Great food and impeccable friendly and competent service.,"It’s modern Italien cuisine. Fresh fish and seafood of very good quality, perfectly prepared and Beautifully presented. 
Everything was just Amazing. 
We Will be back.",5,2021-10-03,Piro - Osteria di Pesce
imunoglobulin,Carbonara from heaven,"Carbonara here was heavenly, friend who always leaves half a plate, ate it all. Atmosphere was lovely away from the street. Great service, we received limonchelo as a gift. Definitely want to return here again on our 7day trip.",5,2023-08-14,La Nuova Piazzetta
Adam D,Lunch Date,"Food was unbelievable, staff were very nice and helpful. Pizza was a 10/10. Lovely little area outside for seating and plenty of space inside too. Definitely recommend!",5,2022-05-25,Grano Trattoria
Tracy B,First dinner in Italy,"The appetizer (meat, cheeses, tomato) was amazing, unfortunately the bolognese was unremarkable. The restaurant was cute and clean,",3,2023-09-09,Sfiziarte - The Art of Food
Luke R,Wonderful dinner experience,What a fantastic restaurant! We ate dinner here after a long day of exploring Rome. Richard our server was fantastic and took the time to explain to my wife the differences between the pastas. He really made the experience for us. The food was also fantastic! Will be back the next time we are in Rome,5,2023-09-20,Su & Giu Cucina Romana
Gabi F,Nice day,The best!! Best chesse ever ! Thank you to all the staff it was a nice day for me and my friends . See you soon!,5,2018-07-06,Fres&co Coronari
"Alicia JCardiff, United Kingdom",Just ok,"This was a return visit having been previously just after lockdown. Unfortunately it feels like this place is a victim of its own success. It was very busy and service felt like it was rushed. We were put in a room across from the main restaurant, which was fine but less atmospheric. We asked for more water, which never came. Food was just ok. Shame as our first experience of this place was excellent.",3,2023-02-22,Piccolo Arancio
"Gooner10-8Dublin, Ireland","Superb Food, Excellent Wines, Impressive Staff...","Just once in a while we get to experience ""Fine-Dining"" at its upper-end : in a Restaurant awarded the acknowledged accolade of a Michelin Star, and - if we're really lucky - very rarely, one which has earned several such awards. The up-market venues we've visited, in Ireland, the UK, mainland Europe & the U.S. have been generally excellent, but we did have extremely disappointing experiences in a 2* in London, and a 1* in Washington D.C.Now, this time around, we were celebrating the Birthday of M (my ""Better Half""), and we had very high expectations of ""La Pergola"", on this very special night. We were absolutely delighted with our experience at this superb Restaurant.""La Pergola"" is part of what's on offer at an elaborate Waldorf-Astoria Hotel/Resort, on Rome's outskirts. To be honest, we did not relate well to the elaborate, colourful but distinctly ""faux"", somewhat tasteless, surroundings in the enormous Lobby area, but from the time we reached the 9th Floor (where the Restaurant is located), things improved greatly.We were pleasantly received, and the courteous Maitre d' brought us to a Table which had great views, for all that it was, unfortunately, a dreadfully wet evening, where visibility was quite limited.We moved on, savouring all the elements of this experience. I have quite a few ""Food Sensitivities"", and had notified these (twice) in advance - the message had clearly been received, to my great relief.For people like us, who have eaten in establishments ranging from humble Cafes, to the far more elaborate, there are some fascinating (and somewhat amusing) elements to dining at this level : for example, you don't just get a comprehensive Wine-List (here there were 2 large volumes), but also a ""Water Menu"", offering options from various countries. Moreover, aside from the seductive list of choices on the Food Menu (here there's an 8 or 10 Course ""Gourmet"" offering, or you can pick from the range of Courses, as an alternative), you also have the added bonus of artistically presented, extremely tasty, Amuse-Bouches.From our Food selections, probably the better ""Appetiser"" was the ""Duck Foie Gras with Pear & Ginger"" - beautifully presented and subtly (rather than aggressively) flavoured. M was very disappointed with her ""First Course"", a Risotto, which she considered tasteless, and didn't finish - in fairness, the Maitre insisted she have at least a small portion of one of the Pasta alternatives, which she quite enjoyed.Our ""Mains"" were truly excellent. M's ""Leg of Lamb with Goat's Cheese & Brocccoli"", and my own ""Fillet of Veal with Chard"" were both remarkable in terms of texture and flavour.As we both savoured the wonderful Food, we also sipped some Wine : we shared an absolutely excellent Bottle of ""Falanghina"", while M also enjoyed a half-bottle of a ""Red"" she selected with some advice from the Sommelier - we both appreciated the distinctive ""Riedel"" Glasses.Nowhere, as we have discovered is absolutely ""Perfect"" : there was an excessively long delay in dealing with Desserts - we felt we had been forgotten ; there were similar problems with getting Tea & Coffee.On the other hand, the Restaurant gave an extremely nice, tasteful, discreet recognition to M's Birthday, which I had signalled to them in advance.Now, it would be utterly negligent on our part, not to mention the enormous contribution that Staff members made to our enjoyment of this special evening. We know only too well that there's a (very) delicate balance between being coldly ""professional"", and offering a warmer service, totally competently. All of those who delivered our Food & Wines were definitely professional, but more than that.We must give special mention to the Maitre, Simone, who was, from the outset, assured, helpful and friendly ; our Sommelier, Alessandro, was not just knowledgeable, but impressively avoided the all too frequent, irritating tendency to act as if Patrons know nothing about Wines - and, as he pleasantly and warmly engaged with us, he even displayed a sense of humour!Our Bill/Check was by no means inexpensive, but we did not expect otherwise. My last note to myself on the night says : ""We've been in equally rated Restaurants before, but this one particularly registered with us, for all the best reasons""!""Grazie Mille"" to Simone, Alessandro + all their colleagues who looked-after us so, so well!",5,2019-06-06,La Pergola
Lorenas S,Fantastic please,God choice of delicious food and good service. Very nice atmosphere. Everything was perfect. We 100% come back next time,5,2020-02-07,Sapori Sardi
Galina P,Cozy and delicious,"It a cozy place with very friendly atmosphere. Food is amazing, twist of modern and traditional, the presentation of the dishes is intriguing. It is great to be in this place with families, friends, and kids :) 
Recommended to visit",5,2019-08-16,Bacetto Bistrot
andersb626,Good food but expensive compared,Made a booking on Tripadvisor but the restaurent did not give the 20% as informed on the app and from “The fork” Food was okay but the price was expensive compared to the quality.,2,2019-10-25,Clorofilla
Lana L,Amazing,It was so delicious! Chiara was wonderful! I definitely will be returning! I got the margarita pizza and it was the best I’ve had in Rome.,5,2024-03-15,Rione 13
"wandererbrittanyhSan Francisco, California",Absolutely one of the best in the world. ,"The creativity and attention to detail is comparable if not better than three Michelin star restaurants of Hong Kong, Paris or San Francisco. Truly extraordinary every bite feels like an out of world experience. The “before dessert” experience has a delightful surprise and the egg yolk pasta specialty by Chef Beck is exquisite. The service from water to bread down to dessert was impeccable. ",5,2019-07-14,La Pergola
584gradient,Hit or miss,"I visited this ""trattoria"" two times and each was different. The first time i got to taste the very best lasagna i have ever eaten (the one with zuchini flowers) and the best spicy pastas. The second time tasted tartufatta and carbonara, both completely bland... so here its either the best dish ever to be created or below average, plus the fact that they kinda change the menu sucks....i really wanted to sin with that godlike lasagna.",4,2017-05-18,Dar Bruttone
Toby_McGrobie,Simply the Best,"Testaccio market is fantastic and this place is amazing... Their choices are wide ranging. We had pajata di vitello and scottona alla macellara in a big bread bun. Food on the go at its best, you can sit there of course. Just do it",5,2020-08-03,Mordi e Vai
olsarge88New Jersey,Amazing neighborhood restaurant!!,"The owner served us personally, told us about his heritage from Sardinia, recommendation were so awesome we didn’t want to leave! From wine, to appetizers, to main course, to dessert, to aperitifs, this dinner was quite amazing! Great service and food ! Please come here to enjoy an awesome dinner!",5,2018-10-19,Ristorante L’Isola
"AvinAnismKrakow, Poland",Love for pasta,"Very pleasant and hospitable staff. It was possible to get a table without having a reservation, so a huge plus for us. The pasta, vegetarian option, is absolutely delicious. We could have eaten a whole pan if possible:) If we had been at home, we would have licked the plates, because it was so nicely flavored and delicate. The variety of pinsa is overwhelming:) A place to remember! ",5,2023-09-29,Pinsitaly Trevi
"DhdhehbRome, Italy",Good service and price,"We had our morning coffee here during our 4 days in Rome. Prices were very reasonable and food quality was good. Service was also good and Alessandro (staff) went out of his way to guide us to another restaurant for dinner (this place does not server ""proper"" dinner).Keep it up.",5,2022-06-06,Bar La Licata
Andrea IItaly,Our best dinner in Italy,"We went there on our third day in Rome, and we were pleasantly surprised by the cozy atmosphere and nice food. We decided to visit the restaurant the following day again, because we wanted to try the pasta and beef with truffle and I can say that they were absolutely delicious! It turned out to be our best dinner in Italy, no regret!",5,2023-11-02,Marco G
"hotpupNewcastle upon Tyne, United Kingdom",Absolute gem of a place ! Book to avoid disappointment.,"Booked this restaurant based on the reviews for the 4 evenings that we were staying just down the road at the Republic Hotel. Was not disappointed! Food, service, and ambience were all fantastic. There are several restaurants in this street but this one was the only one that had queues of people who hadn't booked lining up for tables to become free. Food well priced and house wines were a bargain.The meat, seafood, and cheese platters for one on the starter menu are massive and would easily do 2 or 3 people so please beware if you want to manage a second course.Baked artichokes were divine. Interesting range of pasta and pizzas as well as more rustic authentic Italian dishes. Wide range of tasty vegetarian meals.If you are staying in the area and want an excellent restaurant after wandering aroud Rome all day this one is an absolute gem.Best book to avoid waiting in a long line you will not be disappointed!",5,2023-04-03,La Famiglia
"proudroseOttawa, Canada",So good we went here twice ,We loved this place. First time we had a la carte.Second time we had the tasting menu which was fantastic. The waitress was so kind. She made sure that my meal was fine for lactose intolerance. She had told the chef and he made me a soy panacotta for desert. But really the whole meal was excellent. I am not a big fish eater but this was so good. Innovative and tasty. The service was terrific. It’s a small neighbourhood restaurant but on Saturday night it was packed and everyone seemed to be happy. The decor is clean and stylish. All in all a great experience.,5,2018-10-21,Sughero
"Manuela LLuxembourg City, Luxembourg",La Baguetteria del Valle / Rome,"Located in Via del Teatro Valle, near piazza Navona, fresh baguette of all sorts, it smells fresh bread, friendly and welcome service, excellent sandwichs, great coffee; don't miss to visit La baguetteria.",5,2020-01-24,La Baguetteria del Valle
Andrea F,Excellent pizza,"The pizza here is by far the very best in Rome, a bit more expensive than you'd expect but it's definitely worth it. The place is terrible but you won't care. 5 stars!!!",5,2014-02-26,Pizzeria Antica Stabia
Paradise515931,"Horrible, rude and disrespectful waiter","We just had rudest waiter I have ever experienced in my life. I never complain but proactively need to come here to call out the waiter Amir for his awful behaviour and how he treated our group. When we arrived and asked if they had a table for 4, he asked if we had a reservation and I said no. He laughed in my face and said nothing else before walking off to check. He then barely spoke to us and just acted as if our presence was inconveniencing him the entire time we were there. We didn’t get cutlery, he didn’t order one of our dishes (because he didn’t repeat our order back to us to check and ran off) then didn’t even apologise for missing it, so my friend didn’t even get his food.Absolutely appalling attitude. My friends are over from the US and Asia and this was our last night together. Thanks for spoiling that",1,2024-03-11,La Taverna dei Monti
LCe9,"Wonderful, both gluten free and regular.","Everything was delicious, well prepared and served punctually.  The waiters and hostess were charming and very competent. A dream come true for me as a celiac!",5,2024-02-24,Pantha Rei
Noel W,Great restaurant,"Fantastic restaurant! Lovely food and great service, we would highly recommend dining here. You know a place is good when you see locals eating their and collecting take-aways! Very reasonably priced as well.

As everything was perfect, we dined there each night of our visit.",5,2023-04-30,La Famiglia
Pwadan,Excellent asian twist on Italian,"Really enjoyed our food here, a welcome change from the typical Italian food we have had, the flavours whilst subtle are delicious and work well with the dishes Highly recommended and worth the short walk / taxi ride",4,2014-04-29,Ristorante Lin
Joseph O,Excellent food and service!,"Great food and service. Our server Marco was very attentive, friendly, and kind.Tip: Get a table for 4. There was a couple just behind us and another far more behind. They got a table before my wife and I even though we were ahead because they combined and got a table for 4.",5,2023-09-24,La Nuova Piazzetta
